Region,Sector,With Russia,Without Russia,Without China,Without India
EST,Final Demand,0.8733414095869869,0.03162712519423631,0.18888763133524983,0.18888763133524983
DNK,Final Demand,0.808718765237497,0.08294102349520381,0.12438083895616353,0.12438083895616353
CYP,Final Demand,0.8296482867766707,0.06429312991566753,0.09737624873159015,0.09737624873159015
GRC,Final Demand,0.8871205530262818,0.0385199451622746,0.09282771928149457,0.09282771928149457
SVN,Final Demand,0.8247015515765982,0.043897559249943374,0.10382626952881789,0.10382626952881789
PRT,Final Demand,0.8779978654544571,0.042968661204512634,0.06593681620558804,0.06593681620558804
MLT,Final Demand,0.6687378362295422,0.1886472526981882,0.22597918477934054,0.22597918477934054
ROU,Final Demand,0.8431194597913427,0.02897566844664298,0.16489124612333123,0.16489124612333123
ESP,Final Demand,0.7802436828357505,0.06180288102316188,0.09418047634190649,0.09418047634190649
DEU,Final Demand,0.8159528809955772,0.06405373803127926,0.10824610140216102,0.10824610140216102
HRV,Final Demand,0.8206453845089804,0.03925301794867521,0.08346973939763418,0.08346973939763418
NLD,Final Demand,0.7805729837492452,0.09131405226762535,0.13206693954464946,0.13206693954464946
BGR,Final Demand,0.8724915202693103,0.023805662935574495,0.09471221749704459,0.09471221749704459
LUX,Final Demand,0.7887161571009448,0.10708740043062834,0.15731334887318266,0.15731334887318266
LTU,Final Demand,0.7778448767974644,0.030004693943437258,0.2645356740301078,0.2645356740301078
HUN,Final Demand,0.8152126705571535,0.05320256034724882,0.1559446704517735,0.1559446704517735
POL,Final Demand,0.8726515016875301,0.03264346908323498,0.09143132583066957,0.09143132583066957
CZE,Final Demand,0.8749749240179624,0.03184879524636586,0.14134552521490037,0.14134552521490037
BEL,Final Demand,0.7726444720719933,0.09159300074826068,0.13090251067264397,0.13090251067264397
SWE,Final Demand,0.7438056343244117,0.15185366318182544,0.21154506928773753,0.21154506928773753
ITA,Final Demand,0.827191607861856,0.045742104087087135,0.07973960936829487,0.07973960936829487
FRA,Final Demand,0.7863660391550321,0.08054970215869424,0.13573208971974204,0.13573208971974204
AUT,Final Demand,0.7732570304343506,0.07469618525894242,0.12708800202277729,0.12708800202277729
FIN,Final Demand,0.8643278794993285,0.060313578443334896,0.19679493637086595,0.19679493637086595
LVA,Final Demand,0.8445534398083958,0.03306819942141765,0.30388678119579615,0.30388678119579615
SVK,Final Demand,0.844045361617618,0.035368686189212725,0.30140556406680546,0.30140556406680546
IRL,Final Demand,0.7247616801567908,0.27228983632693543,0.3018234248186236,0.3018234248186236
